Start Date,Respondent ID,IP Address,In what country do you work?,What is your age?,How long (in years) have you been in information technology or security?,,What is the highest level of formal education you have completed?,What is your gender identity?,,Do you currently have (or have had) industry certifications?,"If you do have certifications, which one do you value most?","If you do have certifications, which one do you value least?",What was your first job title in information technology or security?,What is your current job title in information technology or security?,Current Job Cleaned,Which of the following best describes the principal industry of your current organization?,,"Do you call it ""Cybersecurity"" or ""Information Security""","Are you currently or formerly employed by a Government, Military, or Defense Industrial Base (DIB) organization (or are you in a role that primarily supports one of those entities)?",Do you consider your role to be highly technical?,"On a scale of 1-10, how do you rate your coding or development skills?",What role in information security or cybersecurity do you believe is the new hotness?
4/1/21 17:47,12542986475,76.190.90.34,United States of America,25 to 34,06-10,,Graduated from College/University,Woman,,Yes,I've only gotten certs that my job paid and provided time to get,I don't have a lot of respect for certs because I've meet too many people who have them and clearly didn't understand the material,Malware analyst,Manager,Manager,Airlines & Aerospace (including Defense),,Cybersecurity (cyber),Yes,Yes,6,I'm a big fan of intelligence analysis. I spent the first 8 years of my career there and think there's so much room for growth in that area. 
4/1/21 17:41,12542973892,173.28.60.35,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,Yes,GSE,Security+,Web designer,Systems and security architect,Manager,MSSP,,I use both terms depending on audience I am talking to,No,Yes,8,Security Analyst 
4/1/21 17:29,12542961795,194.110.114.188,Poland,18 to 24,01-5,,Some College/University,Man,,Yes,"CEH, Splunk Architect",ITIL,IT Systems Engineer,Detection & Monitoring Operations Analyst,manager cyber operations,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Threat Intel, Forensic Investigation"
4/1/21 17:30,12542955833,192.95.249.20,Canada,35 to 44,11-20,,Graduated from College/University,Man,,No,,,Network exploitation analyst,Principal threat analyst ,Manager Data Engineering,MSSP,,Cybersecurity (cyber),Yes,Yes,I am an extremely competent coder/developer,Data science
4/1/21 17:22,12542941846,101.161.223.71,Australia,45 to 54,21-40,,Some College/University,Man,,Yes,,,Network Administrator,Security Stratigist,Manager Devops,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 17:15,12542939211,80.0.128.254,United Kingdom of Great Britain and Northern Ireland,45 to 54,21-40,,Graduated from College/University,Man,,No,,,Software Engineer ,Software Architect,Manager of professional services (DFIR),Other (please specify),Defence,Cybersecurity (cyber),Yes,Yes,7,Active Defense specialist 
4/1/21 17:18,12542932772,64.18.150.217,United States of America,25 to 34,01-5,,Doctorate,Man,,No,,,Security Data Scientist,Senior ML Engineer ,Manager research & development (basicsally still developer) ,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I am an extremely competent coder/developer,ML
4/1/21 17:15,12542931468,109.189.102.181,Norway,25 to 34,01-5,,Graduated from College/University,Man,,Yes,Splunk certs,,Splunk consultant,Splunk Consultant,Manager Threat Intelligence,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,6,"SOAR engineer, AI eng"
4/1/21 17:17,12542931183,172.58.220.159,United States of America,35 to 44,11-20,,Graduated from College/University,Woman,,Yes,GCFE,ACE,Forensic Intern,Principal,"Manager, Client Technical Services","Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,4,Cloud
4/1/21 17:15,12542928015,96.38.186.117,United States of America,35 to 44,21-40,,Some College/University,Man,,No,,,Information Security Engineer,Staff Security Operations Engineer,"Manager, Cyber Security Incident  Management ",Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I am an extremely competent coder/developer,None
4/1/21 17:03,12542909975,8.46.200.146,United States of America,25 to 34,01-5,,Completed graduate school,Woman,,Yes,CCME,ACE,Digital Forensic Examiner,Senior Digital Forensic Examiner,"Manager, Information Security ",Other (please specify),Legal,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,No idea.
4/1/21 17:01,12542907776,91.179.51.92,Belgium,25 to 34,01-5,,Graduated from College/University,Woman,,No,,,Cybersecurity business architect analyst,CIRT Analyst,"Manager, Security Operations",Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Dark Web Analyst
4/1/21 16:59,12542899918,206.169.134.5,United States of America,35 to 44,11-20,,Some graduate school,Man,,Yes,SANS,CISSP,Network Security Analyst,Staff Security Engineer,Managing consultant ,Finance & Financial Services,,I use both terms depending on audience I am talking to,Yes,Yes,6,cloud security
4/1/21 17:00,12542899732,68.126.212.34,United States of America,25 to 34,06-10,,Graduated from College/University,Man,,Yes,GCFA,CISSP,Security Analyst,Senior Security Engineer,Managing Director ,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud Security
4/1/21 16:56,12542897276,92.22.207.214,United Kingdom of Great Britain and Northern Ireland,35 to 44,01-5,,Graduated from high school,Man,,No,,,Analyst ,Analyst,Medior security consultant,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,No,2,AI
4/1/21 16:54,12542888656,71.191.64.133,United States of America,35 to 44,11-20,,Completed graduate school,Man,,No,,,Systems engineer,Software engineer,ML Engineer ,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,9,Twitter thought leader
4/1/21 16:52,12542885428,67.172.200.111,United States of America,35 to 44,11-20,,Completed graduate school,Woman,,No,,,Security Engineer ,Senior Security Engineer ,Network Admin,Education,,Information Security (infosec),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 16:50,12542879536,73.155.42.181,United States of America,18 to 24,01-5,,Graduated from College/University,Man,,Yes,AWS Security Specialty,,Software Test Analyst,Security Operations Engineer,Network administrator ,Education,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,CTI
4/1/21 16:43,12542872807,110.33.56.98,Australia,35 to 44,11-20,,Completed graduate school,Man,,Yes,OSEE,GIAC GREM,Senior Network Analyst,Principal Security Researcher,Network Administrator ,Government,,Cybersecurity (cyber),Yes,Yes,8,Detection Engineer
4/1/21 16:38,12542869568,220.233.199.208,Australia,45 to 54,11-20,,Graduated from College/University,Man,,Yes,,SABSA,Systems engineer,Security architecture Lead,Network Analyst (Systems Admin),Manufacturing,,I use both terms depending on audience I am talking to,No,No,3,Security Analyst 
4/1/21 16:44,12542868768,174.232.6.195,United States of America,35 to 44,01-5,,Some graduate school,Man,,No,,,Application security administrator,Application security administrator,Network and Security Manager.,Insurance,,Cybersecurity (cyber),No,No,7,
4/1/21 16:41,12542864102,151.201.145.213,United States of America,25 to 34,11-20,,Graduated from College/University,Man,,No,,,Consultant,Senior Manager,Network security engineer,Other (please specify),Consulting,I use both terms depending on audience I am talking to,No,Yes,7,Automated Defense
4/1/21 16:32,12542853265,109.43.51.163,Germany,35 to 44,06-10,,Some College/University,Man,,Yes,GCFA (GIAC),Vendor certs,Workplace Security Engineer,Security Architect,NOC SME,MSSP,,I use both terms depending on audience I am talking to,No,Yes,6,Threat Intelligence Anslyst
4/1/21 16:33,12542851158,67.162.133.214,United States of America,45 to 54,21-40,,Graduated from high school,Man,,Yes,GCIH,ACE,Business Owner,Pirate Ship Captain,of Cybersecurity Research,Software Sales,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Hunting
4/1/21 16:27,12542840602,109.255.124.196,Ireland,45 to 54,21-40,,Completed graduate school,Man,,No,,,ITAdninistrator,Head of IT,Operations Engineer,Automotive,,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Anything to do with anti-phishing is hot for us right now.
4/1/21 16:17,12542825711,37.120.149.43,Norway,45 to 54,01-5,,Completed graduate school,Man,,Yes,Globalytica Intelligence Analysis Professional (Structured Analytical Techniques),SANS FOR578,Senior Threat Intelligence Analyst,Senior Threat Intelligence Analyst,Operations manager,Finance & Financial Services,,Cybersecurity (cyber),Yes,No,4,"Intelligence, actually doing intelligence Analysis"
4/1/21 16:05,12542813673,165.225.243.13,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,CISSP,CISSP,Help Desk Support,Information Security Engineer,Operations Security Engineer ,Software Sales,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Hunting and Threat Intel
4/1/21 16:13,12542812749,86.137.110.168,United Kingdom of Great Britain and Northern Ireland,35 to 44,11-20,,Graduated from College/University,Man,,Yes,CISSP,CISSP,Sec-ops analyst,Head of Threat ,Partner Cyber Risk Advisory and Interim CISO,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,DevSecOps
4/1/21 16:13,12542812171,96.245.181.123,United States of America,55 to 64,11-20,,Graduated from College/University,Man,,Yes,CISSP,,Don't remember ,Risk officer,Pentester,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,6,Quantitive risk analysis 
4/1/21 16:12,12542811726,82.37.86.12,United Kingdom of Great Britain and Northern Ireland,25 to 34,06-10,,Associates Degree,Man,,Yes,SANS GIAC GDAT,CEH,Vulnerability analyst,Cyber threat analyst ,Policy Manager,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,Yes,2,Purple team
4/1/21 16:09,12542802020,49.199.115.59,Australia,35 to 44,21-40,,Associates Degree,Man,,Yes,Cissp,Ccna,Junior fw engineer ,Head of risk,Principle Security Engineer ,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,4,Cloud security or industry 4.0 cyber
4/1/21 16:07,12542797556,89.245.167.21,Germany,35 to 44,11-20,,Did not attend school or did not graduate high school,Man,,No,,,Sysadmin,IT manager ,Product for Detection & Response,Advertising & Marketing,,Information Security (infosec),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 16:05,12542793810,86.31.111.76,,25 to 34,11-20,,Military technical training,Man,,No,,,Protective Security - cyber,Solution Engineer,Professional Services Consultant,Software Sales,,I use both terms depending on audience I am talking to,Yes,No,8,Threat Hunt Analyst
4/1/21 16:03,12542790667,24.5.252.108,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,GIAC,CISSP,systems administrator associate,CISO,Professional Services Engineer,Government,,I use both terms depending on audience I am talking to,Yes,Yes,7,"Cyber Assurance, Security Controls Assessor, Auditor"
4/1/21 16:03,12542788491,83.134.181.44,Belgium,35 to 44,11-20,,Completed graduate school,Man,,Yes,Gcfa,Ecih,Systems engineer,Network security engineer,Project Manager,Government,,I use both terms depending on audience I am talking to,No,No,6,
4/1/21 16:02,12542786063,82.47.94.131,United Kingdom of Great Britain and Northern Ireland,35 to 44,11-20,,Completed graduate school,Man,,Yes,,,Security Engineer,Principal Security Engineer,Project mission engineer,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,
4/1/21 16:01,12542784217,98.236.31.14,United States of America,35 to 44,11-20,,Completed graduate school,Man,,Yes,None,None,Grid Computing Systems Engineer,Sr engineering manager,PS consultant ,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,7,Detection engineer
4/1/21 15:58,12542780335,184.170.174.114,United States of America,25 to 34,11-20,,Completed graduate school,Woman,,Yes,GIAC Python Coder,Certified Ethical Hacker,Network Infrastructure Technician,Security Engineer - Consultant,Red Team Azure Trustworthy ML,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,Yes,Yes,7,Insider Threat
4/1/21 15:56,12542778272,109.255.183.55,Ireland,35 to 44,11-20,,Graduated from College/University,Man,,Yes,None really. ,CompTIA A+,Helpdesk / Security Engineer,Consultant,Reporting Specialist,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,No,3,"DevSecOps, automate the everything, script and forget about it. "
4/1/21 15:51,12542767266,24.140.130.195,United States of America,45 to 54,21-40,,Graduated from College/University,Woman,,Yes,I only have GSEC so I can't get say what I value most.,I only have GSEC so I can't get say what I value least.,Dialer System Operator - supported Unix-based telecenter phone system,Lead Security Analyst,researcher,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat intelligence
4/1/21 15:50,12542764344,173.251.241.10,United States of America,35 to 44,06-10,,Graduated from College/University,Woman,,No,,,Threat Analyst,Director - Cyber Threat Intelligence,risk and security specialist ,Entertainment & Leisure,,I use both terms depending on audience I am talking to,No,No,2,"Meh - Not sure I believe there's a new hotness.  The hottest thing is people who are curious and passionate about learning about what's new, whether they are new college grads or Distinguished Engineers.  Also people who are genuinely nice.  Jerks are never the new hotness, even when they have the hottest skills.  p.s. hi Ryan from Kristen D"
4/1/21 15:41,12542744958,172.56.20.218,United States of America,35 to 44,06-10,,Associates Degree,Man,,Yes,"CRTP, GCIH",GMON,Security Analyst,Sr Cybersecurity and Digital Forensics Engineer,Risk officer,Manufacturing,,I use both terms depending on audience I am talking to,No,Yes,8,Threat Intelligence
4/1/21 15:30,12542738703,49.185.25.198,Australia,35 to 44,21-40,,Some College/University,Man,,Yes,Whichever helps get me more $$$ at the time.  SANS are pretty good.,NT 4.0 MCSE,IT Helpdesk,Security Consulting Engineer,sales,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,6,Magenta Team
4/1/21 15:39,12542736757,70.95.69.88,United States of America,35 to 44,11-20,,Graduated from high school,Man,,No,Certifications tend to be a reverse indicator of competency. ,Certifications tend to be a reverse indicator of competency. ,Systems Administrator,Security Engineer,Sales Engineer,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,7,People who actually know how computers work.
4/1/21 15:33,12542736339,98.219.50.9,United States of America,35 to 44,21-40,,Some College/University,Man,,Yes,CISSP,Solaris Admin,"My first role was PC Administrator, but I did lots of security in that role. My first dedicated security role was Security Practice Manager (consulting company). ","SVP, Security Operations ",Sales Engineer,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud Security 
4/1/21 15:36,12542734589,60.240.203.31,Australia,35 to 44,11-20,,Graduated from College/University,Man,,Yes,CISSP,,Network security engineer,Global Security Strategist Manager,Sales Engineer,Software Sales,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,DevSecOps Engineers/Analysts
4/1/21 15:37,12542733779,24.141.123.33,Canada,35 to 44,06-10,,Completed graduate school,Man,,Yes,OSCE,CCSP,Security Analyst,Engineer,Sales engineer,Other (please specify),Consulting,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Something to do with business, less technical "
4/1/21 15:36,12542731467,45.17.234.234,United States of America,25 to 34,06-10,,Graduated from College/University,Man,,Yes,CISSP,A+,Help Desk Analyst,Cybersecurity Engineer,Sales engineer,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,4,Cloud IR
4/1/21 15:33,12542723639,174.196.143.63,United States of America,25 to 34,11-20,,Graduated from College/University,Man,,Yes,,,Consultant - Penetration Testing,Sr Director of Threat Research ,Sales Engineer ,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),Yes,Yes,9,Cloud
4/1/21 15:23,12542716770,73.122.241.10,United States of America,35 to 44,06-10,,Did not attend school or did not graduate high school,Man,,Yes,CISSP,"A+, Security+",Cybersecurity Engineer - 1-man-band at a global company. 1K employees in Medical Manufacturing sector.,Vice President | Cybersecurity Engineer at a major bank,Sales Engineer ,Finance & Financial Services,,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"""Engineering"" is moving from implementing new tools to ""Innovation & Engineering"" focusing on building deeper connections between the tools leveraging APIs.     P.S. I hope you submit this talk to Blue Team Village    - H4r0ld ( ͡° ͜ʖ ͡°)"
4/1/21 15:24,12542705615,107.198.43.240,United States of America,25 to 34,11-20,,Some graduate school,Man,,Yes,Security+ .. it was my first one in the field that I got in highschool. ,CISSP ... Holds no value,Help Desk Analyst,Director of Cybersecurity Markets,SE manager,MSSP,,I use both terms depending on audience I am talking to,Yes,Yes,4,Cloud Architect
4/1/21 15:23,12542702690,47.186.38.36,United States of America,35 to 44,11-20,,Completed graduate school,Woman,,Yes,Mental Health First Aid,Sec +,Seaman —- aka cryptologist ,"Senior Manager, Information Security ",sec engineer,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,Yes,No,3,Cloud Security 
4/1/21 15:23,12542700027,75.57.29.154,United States of America,35 to 44,21-40,,Graduated from College/University,Man,,Yes,SANS,CISSP,Helpdesk support (1998),Manager,sec engineer,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,No,4,Threat hunting
4/1/21 15:13,12542684396,107.77.227.116,United States of America,55 to 64,41-IAMETERNAL,,Completed graduate school,Man,,Yes,None,,Member technical staff,,"SECOPS Manager, Global",Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud security 
4/1/21 15:15,12542682861,71.120.17.109,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,None,All,Analyst,Senior Lead Engineer,Security,Other (please specify),Cyber consulting,Cybersecurity (cyber),Yes,Yes,8,threat hunting
4/1/21 15:12,12542679810,37.4.230.152,Germany,25 to 34,06-10,,Completed graduate school,Man,,Yes,OSCE,CISSP,Penetration Tester,Senior SOC Analyst,Security Administrator IV,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,Yes,8,Data Scientist
4/1/21 15:11,12542675962,68.160.167.150,United States of America,55 to 64,21-40,,Graduated from College/University,Man,,Yes,none,all,"consultant, ethical hacker","architect, global empire",Security Analyst,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,6,Machine Learning
4/1/21 15:05,12542669736,71.227.177.205,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,Yes,GCTI,Security +,Intelligence Analyst ,Security Program Manager ,Security Analyst,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,6,IoT security
4/1/21 15:02,12542665872,163.116.146.118,United States of America,45 to 54,11-20,,Associates Degree,Man,,Yes,GCIH,,Data Security Analyst,Lead Information Security Analyst,Security Analyst,Finance & Financial Services,,Information Security (infosec),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 15:07,12542663985,73.228.64.144,United States of America,25 to 34,01-5,,Doctorate,Woman,,No,,,Senior Cybersecurity Engineer,Senior Data Scientist,Security Analyst,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,8,Data science
4/1/21 15:07,12542662664,81.109.108.225,United Kingdom of Great Britain and Northern Ireland,25 to 34,06-10,,Graduated from College/University,Man,,Yes,GMON,,Ps consultant ,PS consultant ,Security Analyst,Software Sales,,Cybersecurity (cyber),No,No,3,
4/1/21 15:01,12542656877,188.141.48.93,Ireland,35 to 44,06-10,,Graduated from College/University,Man,,Yes,"None, they had value at the time I acquired them (needed then), but that's not the case now. Never renewed any of them!",Equally unimportant,Software Engineer,"Manager, Security Operations",Security Analyst,Retail & Consumer Durables,,Information Security (infosec),No,Yes,6,It's something new every week. Concentrate on the basics!!!
4/1/21 14:59,12542652460,199.15.232.107,United Kingdom of Great Britain and Northern Ireland,25 to 34,11-20,,Doctorate,Man,,Yes,CISSP,ITIL Foundation,Infrastructure Engineer,Head of Cybersecurity Research,Security Analyst,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,6,OT Cybersecurity Engineer
4/1/21 14:55,12542637065,99.235.221.78,Canada,35 to 44,11-20,,Graduated from College/University,Man,,Yes,Splunk Core Certified Consultant,AWS CCP,Design Engineer ,Lead SIEM Engineer,Security Analyst,Advertising & Marketing,,I use both terms depending on audience I am talking to,No,Yes,7,Cloud security architect
4/1/21 14:54,12542636206,194.239.204.230,Denmark,45 to 54,06-10,,Graduated from College/University,Man,,Yes,GIAC,,Forensic scientist,Forensic scientist,Security analyst ,Government,,Information Security (infosec),Yes,Yes,8,OSINT
4/1/21 14:51,12542628513,72.32.180.181,United States of America,25 to 34,06-10,,Some graduate school,Man,,Yes,SANS GIAC,,Senior Cyber Defense Technologist,Senior Splunk Security Engineer,security analyst ,MSSP,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Detection Engineer
4/1/21 14:50,12542628193,163.116.146.116,United States of America,55 to 64,21-40,,Completed graduate school,Woman,,Yes,GCIH,N/A,Security Admin,Sr. Information Security Analyst,security analyst ,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud Security
4/1/21 14:49,12542626648,151.165.215.253,United States of America,18 to 24,01-5,,Graduated from College/University,Man,,Yes,CompTIA Security+,FEMA Certifications,Cyber Security Intern,Cyber Security Analyst I,security analyst ,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cyber Threat Intelligence (CTI)
4/1/21 14:49,12542625480,151.165.215.253,United States of America,25 to 34,01-5,,Graduated from College/University,Man,,Yes,GCIH,Sec+,Cyber Security Analyst 1,Cyber Security Analyst 2,Security Analyst.,Manufacturing,,I use both terms depending on audience I am talking to,Yes,Yes,7,Incident Response
4/1/21 14:44,12542619194,100.36.103.37,United States of America,25 to 34,06-10,,Completed graduate school,Man,,Yes,"When I worked on govt contracts, I valued the certs which were required for me to meet qualifications.",,Sys Admin,Threat Intel Analyst,Security Architect,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,7,Threat Intel Analysts
4/1/21 14:46,12542618978,67.8.147.47,United States of America,35 to 44,11-20,,Completed graduate school,Man,,Yes,CISSP,,Integrated Learning Systems Technician,Information Security Awareness and Education Coordinator,Security Architect,Education,,Information Security (infosec),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Security Awareness or Managing Human Risk, but I may be a bit biased"
4/1/21 14:45,12542614126,163.116.146.117,United States of America,55 to 64,06-10,,Some College/University,Man,,Yes,GIAC 504,A+,Field Technician,Security Analyst,Security Architect,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud Security
4/1/21 14:44,12542606501,99.32.30.241,United States of America,25 to 34,06-10,,Graduated from College/University,Man,,Yes,CISSP,,Infosec Analyst,Infosec Engineer,Security Architect,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,4,Container Security
4/1/21 14:07,12542597408,151.165.215.253,United States of America,35 to 44,11-20,,Completed graduate school,"Not specified above, please specify",cyberwarrior,Yes,,Tie between GMON/Security+,Security Analyst,Sr. IT Manager - Threats & Response,Security Architect,Other (please specify),30/70 split of Aerospace and Defense(DIB) and Manufacturing,Cybersecurity (cyber),Yes,Yes,7,Anything involving data analytics/machine learning/AI 
4/1/21 14:31,12542596663,24.101.244.109,United States of America,45 to 54,21-40,,Graduated from College/University,Woman,,No,,,Information Security Analyst,"Director, Cybersecurity Services",Security Architect,Other (please specify),Risk management Service provider for critical infrastructure organizations,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,Industrial Control Systems Cybersecurity ftw! ;)
4/1/21 14:31,12542592815,174.59.240.243,United States of America,55 to 64,41-IAMETERNAL,,Graduated from College/University,Man,,Yes,GCIH,CISM,Computer Operator ,Information Security Manager ,Security Architect,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,9,Cyber security data scientist  Or maybe Cloud Security Architect     Thank it is a close race on those two 
4/1/21 13:48,12542571368,98.117.78.58,United States of America,45 to 54,06-10,,Completed graduate school,Woman,,No,,,Senior Software Engineer,Senior Software Engineer,Security Architect,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,8,"internet of things security (wired and wireless together), machine learning for detection"
4/1/21 14:21,12542560898,79.178.73.30,Israel,45 to 54,21-40,,Graduated from College/University,Man,,Yes,All from SANS. I've started with GSEC which brought way more value than CISSP which I did in parallel. Then did five more from SANS.,For me it is CISSP,Information security engineer,Head of big data and security analytics,Security Architect,"Utilities, Energy, and Extraction",,I use both terms depending on audience I am talking to,Yes,Yes,8,Data science and machine learning for defensive/offensive infosec
4/1/21 14:16,12542544795,81.154.108.91,United Kingdom of Great Britain and Northern Ireland,35 to 44,01-5,,Graduated from College/University,Man,,Yes,Security +,,Cybercrime investigator,Cybercrime investigator,security architect,Other (please specify),Law enforcement,Cybersecurity (cyber),Yes,No,4,Unsure. I'm too new to know what is new.
4/1/21 14:16,12542538403,173.11.82.205,United States of America,45 to 54,21-40,,Completed graduate school,Man,,No,,,software engineer,senior engineering manager,Security Architect ,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,9,analytics
4/1/21 14:14,12542535978,76.97.194.48,United States of America,45 to 54,21-40,,Some College/University,,,Yes,CISSP,E|CSA,Systems Engineer,Staff Security Specialist,"Security Architect, Data Science",Software Sales,,I use both terms depending on audience I am talking to,No,Yes,3,Machine Learning/AI
4/1/21 14:10,12542526082,172.2.160.218,United States of America,55 to 64,21-40,,Graduated from College/University,Man,,No,,,sales manager,client manager,Security architecture Lead,MSSP,,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,cyber digital transformation
4/1/21 14:07,12542522872,77.140.166.231,France,25 to 34,01-5,,Completed graduate school,Man,,Yes,Splunk power user,,Security operations engineer,Security operations engineer,Security Consultant,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,Purple team
4/1/21 13:26,12542520762,83.233.151.150,,45 to 54,11-20,,Some College/University,Man,,Yes,Nothing - employeer paid for them,Nothing - employeer paid for them,IT-manager,CSIRT-analyst,Security Consultant,Government,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Timefram? I say bring it home again will be here in the next 3-5 years.
4/1/21 14:08,12542515672,91.67.43.77,Germany,25 to 34,01-5,,Graduated from College/University,Man,,No,,,Security Analyst (Student),Security Analyst,Security Consultant,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,8,
4/1/21 13:57,12542509294,80.0.72.6,United Kingdom of Great Britain and Northern Ireland,35 to 44,11-20,,Graduated from College/University,Man,,No,,,Provisioning engineer ,Cyber Risk Director for incident response and recovery ,security consultant,Other (please specify),Professional service ,Cybersecurity (cyber),No,No,2,
4/1/21 13:59,12542507447,173.76.248.252,United States of America,35 to 44,21-40,,Graduated from College/University,Man,,No,n/a -- I put no value on them (negative or positive) as a hiring manager,n/a,Senior Security Architect (but realistically it was a Senior Security Consultant -- we were breaking into stuff not architecting anything),Chief Research Officer,Security Consultant,Software Sales,,I use both terms depending on audience I am talking to,No,No,6,"There is still a shortage of security professionals that can straddle the infosec and development worlds effectively. Also domain expertise in cloud, containers, IaC, etc."
